code,price_jpy,price_date,change_1d_pct,change_1m_pct,change_1y_pct,market_cap_oku,market_cap_tier,per,per_forecast,pbr,psr,ev_ebitda,peg,roe,dividend_yield,dividend_annual,dividend_payout_ratio,total_return_yield,ma_25,ma_75,ma_200,high_52w,low_52w,rsi_14,avg_volume_3m,credit_buy,credit_sell,credit_ratio,price_history_json,foreign_ownership,individual_ownership,stable_ownership,latest_revenue_oku,latest_op_profit_oku,latest_op_margin,target_consensus,target_high,target_low,analyst_buy,analyst_hold,analyst_sell,valuation_verdict,valuation_score,updated_at
1807,1813,2026-06-26,-0.92896175,2.3137697516930023,8.497905445840814,113,,12.803672,,0.49613425,,,,,4.3715846,,,,1805.4,,,2139,1642,52.360515021459236,,,,,,,,,,,,,,,,,,,,2026-06-28T11:20:38.958Z
1808,2852.5,2026-06-26,3.3140168,5.161290322580645,30.310644129739607,7549,,13.947291,,1.3414805,,,,,3.4407824,,,,2696.8,,,3531,2141.5,73.70242214532873,,,,,,,,,,,,,,,,,,ほぼ妥当,55,2026-06-28T11:20:38.959Z
1810,1340,2026-06-26,1.2084593,-0.7407407407407408,16.52173913043478,382,,8.8262415,,0.6701847,,,,,5.6646526,,,,1340.16,,,1964,1097,55.81395348837209,,,,,,,,,,,,,,,,,,,,2026-06-28T11:20:38.959Z
1811,7950,2026-06-26,-1.8518518,-7.879490150637311,89.06064209274673,569,,13.386768,,0.49403563,,,,,1.4814815000000001,,,,7850.4,,,9820,4140,59.62732919254658,,,,,,,,,,,,,,,,,,,,2026-06-28T11:20:38.960Z
1812,5769,2026-06-26,1.7460319,-2.3362112747587607,53.18640467339352,26827,,15.1975765,,1.8996471,,,,,2.5749559,,,,5715,,,8040,3621,60.77537058152794,,,,,,,,,,,,,,,,,,やや割高,40,2026-06-28T11:20:38.960Z
1813,2626,2026-06-26,1.9805825,-4.090577063550037,13.975694444444445,398,,8.912571,,1.0447829,,,,,4.4660196,,,,2675.72,,,4015,2200,48.55595667870036,,,,,,,,,,,,,,,,,,,,2026-06-28T11:20:38.961Z
1814,3200,2026-06-26,0.6289308,-1.2345679012345678,44.73089099954772,329,,8.748906,,1.3068714,,,,,5.754717,,,,3204.6,,,4505,2130,53.33333333333333,,,,,,,,,,,,,,,,,,,,2026-06-28T11:20:38.962Z
1815,4390,2026-06-26,1.0356731,-4.357298474945534,50.65202470830473,612,,12.165383,,0.77986187,,,,,3.9125430000000003,,,,4444.6,,,5840,2855,56.03864734299517,,,,,,,,,,,,,,,,,,,,2026-06-28T11:20:38.962Z
1820,5291,2026-06-26,0.8962624,-2.559852670349908,10.16031646887362,2089,,8.680601,,1.0719104,,,,,4.385965,,,,5346.64,,,6891,4769,51.20320855614973,,,,,,,,,,,,,,,,,,,,2026-06-28T11:20:38.963Z
1822,752,2026-06-26,1.6216216,1.3477088948787064,-7.045735475896168,611,,14.576468,,0.87971944,,,,,4.5945946,,,,736.92,,,907,706,61.64383561643836,,,,,,,,,,,,,,,,,,,,2026-06-28T11:20:38.964Z
