code,date,open,high,low,close,volume,adj_close
8802,2026-06-02,3885,3990,3789,3973,4667700,3973
8802,2026-06-03,3986,4041,3950,3957,2840800,3957
8802,2026-06-04,3921,3981,3903,3931,2926500,3931
8802,2026-06-05,3953,4018,3940,3980,3157100,3980
8802,2026-06-08,3982,3999,3853,3898,3415800,3898
8802,2026-06-09,4008,4015,3922,3957,3573500,3957
8802,2026-06-10,4097,4184,4020,4162,5211500,4162
8802,2026-06-11,4175,4236,4096,4130,5477800,4130
8802,2026-06-12,4200,4216,4109,4196,4211100,4196
8830,2026-05-15,4400,4404,4180,4232,4057900,4232
8830,2026-05-18,4179,4212,3980,3981,4248300,3981
8830,2026-05-19,3878,4034,3853,3955,5088500,3955
8830,2026-05-20,3855,3913,3744,3748,7607100,3748
8830,2026-05-21,3818,3842,3751,3806,4586500,3806
8830,2026-05-22,3747,3786,3627,3741,4388500,3741
8830,2026-05-25,3811,3876,3775,3869,3578200,3869
8830,2026-05-26,3897,4003,3855,3956,4314500,3956
8830,2026-05-27,3900,3913,3706,3713,5016100,3713
8830,2026-05-28,3729,3733,3627,3652,3649300,3652
8830,2026-05-29,3701,3799,3670,3717,6197000,3717
8830,2026-06-01,3688,3716,3584,3601,3866800,3601
8830,2026-06-02,3555,3681,3495,3677,4450700,3677
8830,2026-06-03,3699,3700,3615,3641,2483400,3641
8830,2026-06-04,3571,3609,3505,3518,4107400,3518
8830,2026-06-05,3500,3581,3493,3550,3969500,3550
8830,2026-06-08,3493,3526,3357,3416,4660200,3416
8830,2026-06-09,3450,3460,3354,3426,4332600,3426
8830,2026-06-10,3459,3514,3397,3490,4598000,3490
8830,2026-06-11,3448,3540,3446,3468,4155000,3468
8830,2026-06-12,3503,3575,3458,3569,5298100,3569
1925,2026-05-15,4532,4570,4509,4538,3148900,4538
1925,2026-05-18,4543,4551,4462,4483,2449900,4483
1925,2026-05-19,4510,4576,4501,4544,2614600,4544
1925,2026-05-20,4544,4582,4480,4485,2477700,4485
1925,2026-05-21,4504,4548,4453,4453,2173400,4453
1925,2026-05-22,4463,4472,4407,4416,2101400,4416
1925,2026-05-25,4445,4489,4405,4431,1670200,4431
1925,2026-05-26,4406,4454,4396,4402,1948600,4402
1925,2026-05-27,4400,4434,4394,4402,1988400,4402
1925,2026-05-28,4396,4429,4374,4374,2323300,4374
1925,2026-05-29,4402,4421,4334,4334,4883800,4334
1925,2026-06-01,4338,4344,4215,4215,3146300,4215
1925,2026-06-02,4168,4194,4081,4187,3914800,4187
1925,2026-06-03,4179,4287,4164,4265,2592100,4265
1925,2026-06-04,4218,4276,4208,4227,2674200,4227
1925,2026-06-05,4241,4269,4191,4191,2200100,4191
1925,2026-06-08,4188,4262,4180,4249,2577200,4249
1925,2026-06-09,4284,4309,4221,4248,2408800,4248
1925,2026-06-10,4317,4381,4297,4381,3086400,4381
1925,2026-06-11,4349,4374,4272,4283,2081800,4283
1925,2026-06-12,4324,4345,4285,4300,2675400,4300
1928,2026-05-15,3416,3437,3393,3396,3118700,3396
1928,2026-05-18,3370,3380,3325,3339,2283600,3339
1928,2026-05-19,3355,3402,3355,3402,1862500,3402
1928,2026-05-20,3372,3391,3323,3338,2738700,3338
1928,2026-05-21,3380,3399,3326,3326,3153800,3326
1928,2026-05-22,3347,3351,3290,3336,2793400,3336
1928,2026-05-25,3360,3382,3333,3344,2197500,3344
1928,2026-05-26,3334,3374,3323,3345,1811700,3345
1928,2026-05-27,3328,3356,3321,3338,1802700,3338
1928,2026-05-28,3350,3378,3345,3362,2921000,3362
1928,2026-05-29,3373,3391,3340,3353,4731100,3353
1928,2026-06-01,3356,3360,3269,3280,2956400,3280
1928,2026-06-02,3259,3260,3181,3237,2996400,3237
1928,2026-06-03,3259,3302,3239,3281,2419400,3281
1928,2026-06-04,3235,3326,3209,3294,6776000,3294
1928,2026-06-05,3320,3320,3203,3203,3710600,3203
1928,2026-06-08,3233,3286,3210,3254,3575900,3254
1928,2026-06-09,3264,3280,3217,3225,3992500,3225
